province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m),Unnamed: 0,Unknown,Year,CityEN
黑龙江,505570,嫩江,4910,12514.0,243.0,19,99999,2016,
黑龙江,505640,孙吴,4926,12721.0,236.0,20,99999,2016,
黑龙江,506580,克山,4803,12553.0,239.8,23,99999,2016,
黑龙江,507450,齐齐哈尔,4723,12355.0,148.5,25,99999,2016,Qiqihar
黑龙江,507560,海伦,4727,12658.0,240.4,26,99999,2016,
黑龙江,507740,伊春,4742,12850.0,259.1,27,99999,2016,Yichun
黑龙江,507880,富锦,4714,13159.0,68.4,28,99999,2016,
黑龙江,508440,泰来,4624,12327.0,139.7,29,99999,2016,
黑龙江,508540,安达,4623,12519.0,150.4,30,99999,2016,
黑龙江,508880,宝清,4619,13211.0,83.5,31,99999,2016,
黑龙江,509530,哈尔滨,4556,12634.0,117.7,34,99999,2016,Harbin
黑龙江,509630,通河,4558,12844.0,110.0,35,99999,2016,
黑龙江,509680,尚志,4513,12758.0,191.0,36,99999,2016,
黑龙江,509780,鸡西,4518,13055.0,273.5,37,99999,2016,Jixi
黑龙江,509830,虎林,4546,13258.0,104.8,38,99999,2016,
黑龙江,540940,牡丹江,4430,12940.0,306.5,135,99999,2016,Mudanjiang
黑龙江,540960,绥芬河,4423,13110.0,569.8,136,99999,2016,
湖北,572590,房县,3203,11045.0,426.4,272,99999,2016,
湖北,572650,老河口,3226,11144.0,128.8,273,99999,2016,
湖北,572790,枣阳,3209,11245.0,127.0,274,99999,2016,
湖北,573780,钟祥,3110,11234.0,66.5,281,99999,2016,
湖北,573990,麻城,3108,11457.0,75.2,282,99999,2016,
湖北,574470,恩施,3017,10928.0,458.0,285,99999,2016,Enshi
湖北,574610,宜昌,3044,11122.0,257.5,286,99999,2016,Yichang
湖北,574760,荆州,3021,11209.0,33.4,287,99999,2016,Jingzhou
湖北,574940,武汉,3036,11403.0,24.4,288,99999,2016,Wuhan
湖南,575540,桑植,2924,11010.0,320.9,292,99999,2016,
湖南,575840,岳阳,2923,11305.0,49.7,293,99999,2016,Yueyang
湖南,576550,沅陵,2828,11024.0,151.4,297,99999,2016,
湖南,576620,常德,2907,11141.0,151.4,298,99999,2016,Changde
湖南,576870,长沙,2813,11255.0,69.2,299,99999,2016,Changsha
湖南,577450,芷江,2727,10941.0,273.2,303,99999,2016,
湖南,577760,南岳,2718,11242.0,1265.1,305,99999,2016,
湖南,578450,通道,2610,10947.0,397.4,310,99999,2016,
湖南,578660,永州,2614,11137.0,172.1,312,99999,2016,Yongzhou
湖南,579720,郴州,2548,11302.0,187.1,318,99999,2016,Chenzhou
吉林,509490,前郭,4505,12452.0,137.4,33,99999,2016,
吉林,540490,长岭,4415,12358.0,190.4,134,99999,2016,
吉林,541570,四平,4310,12420.0,167.2,140,99999,2016,Siping
吉林,541610,长春,4354,12513.0,237.5,141,99999,2016,Changchun
吉林,541860,敦化,4322,12812.0,526.0,143,99999,2016,
吉林,542730,桦甸,4259,12645.0,264.8,149,99999,2016,
吉林,542920,延吉,4252,12930.0,258.5,150,99999,2016,
吉林,543740,临江,4148,12653.0,378.9,158,99999,2016,
吉林,543770,集安,4109,12613.0,225.5,159,99999,2016,
