,station_id,Unknown,Year
0,450070,99999,2016
1,450110,99999,2016
2,450320,99999,2016
3,450350,99999,2016
4,450390,99999,2016
5,450440,99999,2016
6,450450,99999,2016
7,466860,99999,2016
8,466960,99999,2016
9,467400,99999,2016
10,467403,99999,2016
11,467430,99999,2016
12,467700,99999,2016
13,501360,99999,2016
14,503530,99999,2016
15,504340,99999,2016
16,504680,99999,2016
17,505270,99999,2016
18,505480,99999,2016
19,505570,99999,2016
20,505640,99999,2016
21,506030,99999,2016
22,506320,99999,2016
23,506580,99999,2016
24,507270,99999,2016
25,507450,99999,2016
26,507560,99999,2016
27,507740,99999,2016
28,507880,99999,2016
29,508440,99999,2016
30,508540,99999,2016
31,508880,99999,2016
32,509150,99999,2016
33,509490,99999,2016
34,509530,99999,2016
35,509630,99999,2016
36,509680,99999,2016
37,509780,99999,2016
38,509830,99999,2016
39,510530,99999,2016
40,510760,99999,2016
41,510870,99999,2016
42,511330,99999,2016
43,511560,99999,2016
44,512430,99999,2016
45,512880,99999,2016
46,513340,99999,2016
47,513790,99999,2016
48,514310,99999,2016
49,514630,99999,2016
50,514635,99999,2016
51,514670,99999,2016
52,514950,99999,2016
53,515420,99999,2016
54,515730,99999,2016
55,516440,99999,2016
56,516560,99999,2016
57,517090,99999,2016
58,517110,99999,2016
59,517160,99999,2016
60,517300,99999,2016
61,517470,99999,2016
62,517650,99999,2016
63,517770,99999,2016
64,518110,99999,2016
65,518180,99999,2016
66,518280,99999,2016
67,518860,99999,2016
68,521120,99999,2016
69,522030,99999,2016
70,522670,99999,2016
71,523230,99999,2016
72,523780,99999,2016
73,524180,99999,2016
74,524360,99999,2016
75,524950,99999,2016
76,525330,99999,2016
77,525331,99999,2016
78,526020,99999,2016
79,526520,99999,2016
80,526810,99999,2016
81,527130,99999,2016
82,527370,99999,2016
83,527540,99999,2016
84,527870,99999,2016
85,527980,99999,2016
86,528180,99999,2016
87,528360,99999,2016
88,528660,99999,2016
89,528890,99999,2016
90,529080,99999,2016
91,529550,99999,2016
92,529830,99999,2016
93,529960,99999,2016
94,530680,99999,2016
95,530830,99999,2016
96,531490,99999,2016
97,531920,99999,2016
98,532310,99999,2016
99,532760,99999,2016
100,533360,99999,2016
101,533520,99999,2016
102,533910,99999,2016
103,534463,99999,2016
104,534630,99999,2016
105,534800,99999,2016
106,534870,99999,2016
107,535020,99999,2016
108,535130,99999,2016
109,535290,99999,2016
110,535430,99999,2016
111,535640,99999,2016
112,535880,99999,2016
113,535930,99999,2016
114,536140,99999,2016
115,536460,99999,2016
116,536730,99999,2016
117,536980,99999,2016
118,537050,99999,2016
119,537230,99999,2016
120,537640,99999,2016
121,537720,99999,2016
122,537870,99999,2016
123,537980,99999,2016
124,538450,99999,2016
125,538630,99999,2016
126,538980,99999,2016
127,539150,99999,2016
128,539230,99999,2016
129,539590,99999,2016
130,539750,99999,2016
131,540120,99999,2016
132,540260,99999,2016
133,540270,99999,2016
134,540490,99999,2016
135,540940,99999,2016
136,540960,99999,2016
137,541020,99999,2016
138,541150,99999,2016
139,541350,99999,2016
140,541570,99999,2016
141,541610,99999,2016
142,541611,99999,2016
143,541860,99999,2016
144,542080,99999,2016
145,542180,99999,2016
146,542260,99999,2016
147,542360,99999,2016
148,542590,99999,2016
149,542730,99999,2016
150,542920,99999,2016
151,543080,99999,2016
152,543110,99999,2016
153,543240,99999,2016
154,543370,99999,2016
155,543420,99999,2016
156,543424,99999,2016
157,543460,99999,2016
158,543740,99999,2016
159,543770,99999,2016
160,543860,99999,2016
161,544010,99999,2016
162,544050,99999,2016
163,544230,99999,2016
164,544360,99999,2016
165,544710,99999,2016
166,544930,99999,2016
167,544970,99999,2016
168,545110,99999,2016
169,545270,99999,2016
170,545273,99999,2016
171,545340,99999,2016
172,545390,99999,2016
173,546020,99999,2016
174,546180,99999,2016
175,546620,99999,2016
176,547150,99999,2016
177,547250,99999,2016
178,547510,99999,2016
179,547530,99999,2016
180,547760,99999,2016
