province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m)
福建,591310,南安,2458,11822.0,46.6
福建,591330,崇武,2454,11855.0,22.5
福建,591340,厦门,2429,11804.0,140.6
福建,593200,诏安,2345,11708.0,38.8
福建,593220,云霄,2359,11722.0,23.8
甘肃,523230,马鬃山,4148,9702.0,1771.6
甘肃,525150,肃北,3931,9452.0,2138.6
甘肃,525330,酒泉,3946,9829.0,1478.4
甘肃,525460,高台,3922,9950.0,1333.4
甘肃,525570,临泽,3909,10010.0,1454.9
甘肃,526430,肃南,3850,9937.0,2313.0
甘肃,526520,张掖,3905,10017.0,1462.3
甘肃,526560,民乐,3826,10049.0,2282.6
甘肃,526740,永昌,3814,10158.0,1978.1
甘肃,526790,武威,3755,10240.0,1532.7
甘肃,526810,民勤,3838,10305.0,1368.7
甘肃,527840,古浪,3728,10254.0,2073.6
甘肃,527870,乌鞘岭,3712,10252.0,3046.3
甘肃,527970,景泰,3711,10403.0,1632.1
甘肃,528810,天祝,3659,10311.0,2486.0
甘肃,528840,皋兰,3621,10357.0,1669.7
甘肃,528850,永登,3645,10315.0,2120.0
甘肃,528950,靖远,3634,10441.0,1399.4
甘肃,528960,白银,3633,10409.0,1739.9
甘肃,529780,夏河,3512,10231.0,2930.6
甘肃,529800,永靖,3558,10318.0,1649.2
甘肃,529810,东乡,3541,10323.0,2422.2
甘肃,529820,广河,3529,10333.0,1954.4
甘肃,529830,榆中,3552,10409.0,1875.6
甘肃,529840,临夏,3535,10311.0,1918.4
甘肃,529850,和政,3525,10320.0,2164.0
甘肃,529860,临洮,3522,10352.0,1895.0
甘肃,529880,康乐,3522,10343.0,2017.0
甘肃,529930,会宁,3541,10504.0,1740.6
甘肃,529950,安定,3535,10437.0,1898.4
甘肃,529960,华家岭,3523,10501.0,2451.8
甘肃,529980,渭源,3508,10412.0,2112.2
甘肃,538210,环县,3634,10718.0,1256.8
甘肃,538290,庆城,3559,10754.0,1094.9
甘肃,539060,静宁,3531,10543.0,1657.6
甘肃,539080,通渭,3513,10514.0,1769.4
甘肃,539150,崆峒,3533,10640.0,1347.8
甘肃,539170,庄浪,3513,10604.0,1632.2
甘肃,539230,西峰,3544,10738.0,1422.2
甘肃,539240,灵台,3504,10737.0,967.8
甘肃,539250,镇原,3541,10711.0,1173.7
甘肃,539260,泾川,3521,10721.0,1030.0
甘肃,539270,华亭,3512,10637.0,1478.8
甘肃,539280,崇信,3518,10701.0,1150.3
甘肃,539300,华池,3627,10759.0,1272.2
甘肃,539340,合水,3547,10759.0,1275.7
甘肃,539350,正宁,3529,10824.0,1483.1
甘肃,539370,宁县,3531,10755.0,980.6
甘肃,560710,碌曲,3435,10230.0,3106.9
甘肃,560740,玛曲,3400,10205.0,3472.6
甘肃,560800,合作,3500,10254.0,2911.2
甘肃,560810,临潭,3442,10321.0,2811.4
甘肃,560820,卓尼,3435,10330.0,2541.5
甘肃,560840,迭部,3404,10314.0,2375.4
甘肃,560910,漳县,3451,10428.0,1884.5
甘肃,560920,陇西,3500,10439.0,1729.4
甘肃,560930,岷县,3426,10401.0,2316.2
甘肃,560940,舟曲,3347,10422.0,1401.2
甘肃,560950,宕昌,3402,10423.0,1754.4
甘肃,560960,武都,3324,10455.0,1080.3
甘肃,561920,文县,3257,10440.0,1015.5
甘肃,570010,甘谷,3445,10520.0,1273.1
甘肃,570020,秦安,3451,10539.0,1217.3
甘肃,570040,武山,3444,10453.0,1496.6
甘肃,570060,天水,3435,10545.0,1142.8
甘肃,570070,礼县,3411,10511.0,1405.8
甘肃,570080,西和,3402,10518.0,1580.2
甘肃,570110,清水,3445,10609.0,1379.4
甘肃,570120,张家川,3459,10612.0,1665.7
甘肃,570140,麦积,3434,10552.0,1086.4
甘肃,571020,成县,3345,10543.0,971.2
甘肃,571050,康县,3320,10536.0,1222.4
甘肃,571100,徽县,3347,10605.0,932.0
甘肃,571110,两当,3355,10618.0,962.6
广东,579880,乐昌,2509,11321.0,103.5
广东,579890,仁化,2504,11346.0,113.6
广东,579960,南雄,2505,11415.0,150.5
广东,590710,连南,2444,11217.0,175.1
广东,590720,连州,2448,11222.0,132.2
广东,590740,连山,2434,11209.0,301.4
广东,590750,阳山,2429,11238.0,71.3
广东,590810,乳源,2447,11317.0,131.9
广东,590820,韶关,2440,11336.0,122.3
广东,590870,佛冈,2353,11331.0,98.2
广东,590880,英德,2411,11325.0,75.3
广东,590900,始兴,2457,11404.0,104.1
广东,590940,翁源,2421,11407.0,184.6
广东,590960,连平,2422,11429.0,215.7
广东,590970,新丰,2403,11412.0,199.3
广东,590990,和平,2427,11456.0,174.6
广东,591060,平远,2435,11554.0,153.5
广东,591070,龙川,2407,11517.0,180.4
广东,591090,兴宁,2409,11544.0,124.5
广东,591140,蕉岭,2439,11610.0,136.4
广东,591160,大埔,2420,11642.0,81.9
广东,591170,梅县,2417,11604.0,116.9
广东,592640,封开,2324,11130.0,84.3
广东,592680,郁南,2315,11132.0,30.1
广东,592690,德庆,2310,11147.0,47.8
广东,592700,怀集,2355,11211.0,85.6
广东,592710,广宁,2338,11226.0,58.2
广东,592760,四会,2321,11239.0,41.0
广东,592780,高要,2302,11227.0,41.9
广东,592790,三水,2311,11252.0,25.0
广东,592800,清远,2343,11305.0,79.9
广东,592840,花都,2325,11314.0,39.8
广东,592850,从化,2334,11336.0,39.2
广东,592870,广州,2313,11329.0,71.5
广东,592880,南海,2309,11301.0,30.3
广东,592890,东莞,2258,11344.0,56.8
广东,592900,龙门,2347,11415.0,86.0
广东,592930,河源,2348,11444.0,71.6
广东,592940,增城,2320,11350.0,31.5
广东,592970,博罗,2311,11417.0,17.9
广东,592980,惠阳,2304,11422.0,109.3
广东,593030,五华,2355,11545.0,136.8
广东,593040,紫金,2338,11511.0,177.6
广东,593060,揭西,2327,11551.0,81.5
广东,593100,丰顺,2346,11611.0,46.2
广东,593120,潮州,2340,11642.0,61.5
广东,593130,饶平,2341,11659.0,45.5
广东,593140,普宁,2318,11608.0,29.8
广东,593150,揭阳,2335,11624.0,44.0
广东,593160,汕头,2324,11641.0,3.9
广东,593170,惠来,2302,11618.0,15.3
广东,593180,潮阳,2316,11635.0,6.7
广东,593190,澄海,2326,11650.0,4.6
广东,593240,南澳,2326,11702.0,8.0
广东,594560,信宜,2221,11056.0,142.2
广东,594620,罗定,2242,11136.0,60.9
广东,594690,阳春,2210,11147.0,38.6
广东,594700,新兴,2242,11212.0,58.2
广东,594710,云浮,2256,11203.0,102.6
广东,594730,鹤山,2246,11258.0,20.6
广东,594750,开平,2224,11239.0,28.5
广东,594760,新会,2232,11302.0,37.1
广东,594770,恩平,2216,11214.0,68.5
广东,594780,台山,2215,11247.0,33.7
广东,594800,顺德,2251,11315.0,22.4
广东,594810,番禺,2256,11319.0,13.2
广东,594850,中山,2230,11324.0,34.5
广东,594870,斗门,2214,11318.0,24.3
广东,594880,珠海,2217,11334.0,52.3
广东,594920,惠东,2258,11444.0,48.2
广东,594930,深圳,2232,11400.0,63.9
广东,595000,海丰,2258,11519.0,7.3
广东,595010,汕尾,2248,11522.0,17.7
广东,595020,陆丰,2257,11539.0,6.4
广东,596500,遂溪,2124,11015.0,32.3
广东,596530,高州,2156,11051.0,32.0
广东,596540,廉江,2138,11018.0,30.0
广东,596550,化州,2139,11037.0,33.0
广东,596560,吴川,2124,11049.0,28.0
广东,596580,湛江,2109,11018.0,54.1
广东,596590,茂名,2145,11055.0,34.1
广东,596630,阳江,2150,11158.0,90.8
广东,596640,电白,2132,11059.0,32.4
广东,596730,上川岛,2144,11246.0,22.3
广东,597500,雷州,2058,11004.0,34.1
广东,597540,徐闻,2020,11011.0,56.7
广西,578590,资源,2602,11038.0,409.6
广西,579270,天峨,2458,10711.0,288.5
