ProvID,ProvCN,ProvEN,CityID,CityCN,CityEN,AreaCode,Postcode,Plate
,,,1614,葫芦岛,Huludao,0429,125000,辽P
17,吉林,Jilin,1701,长春,Changchun,0431,130000,吉A
,,,1702,吉林,Jilin,0432,132000,吉B
,,,1703,四平,Siping,0434,136000,吉C
,,,1704,辽源,Liaoyuan,0437,136200,吉D
,,,1705,通化,Tonghua,0435,134000,吉E
,,,1706,白山,Baishan,0439,134300,吉F
,,,1707,白城,Baicheng,0436,137000,吉G
,,,1708,松原,Songyuan,0438,138000,吉J
,,,1709,延边,Yanbian,0433,133000,吉H
,,,1710,长白山,Changbai Mountain,0433,133000,吉K
,,,1711,梅河口,Meihekou,0435,135000,吉E
,,,1712,公主岭,Gongzhuling,0434,136100,吉C
18,黑龙江,Heilongjiang,1801,哈尔滨,Harbin,0451,150000,黑A/L
,,,1802,齐齐哈尔,Qiqihar,0452,161000,黑B
,,,1803,鸡西,Jixi,0467,158100,黑G
,,,1804,鹤岗,Hegang,0468,154100,黑H
,,,1805,双鸭山,Shuangyashan,0469,155100,黑J
,,,1806,大庆,Daqing,0459,163000,黑E
,,,1807,伊春,Yichun,0458,153000,黑F
,,,1808,佳木斯,Kiamusze,0454,154000,黑D
,,,1809,七台河,Qitaihe,0464,154600,黑K
,,,1810,牡丹江,Mudanjiang,0453,157000,黑C
,,,1811,黑河,Heihe,0456,164300,黑N
,,,1812,绥化,Suihua,0455,152000,黑M
,,,1813,大兴安岭,Daxing'anling,0457,165000,黑P
19,江苏,Jiangsu,1901,南京,Nanjing,025,210000,苏A
,,,1902,无锡,Wuxi,0510,214000,苏B
,,,1903,徐州,Xuzhou,0516,221000,苏C
,,,1904,常州,Changzhou,0519,213000,苏D
,,,1905,苏州,Suzhou,0512,215000,苏E
,,,1906,南通,Nantong,0513,226000,苏F
,,,1907,连云港,Lianyungang,0518,222002,苏G
,,,1908,淮安,Huai'an,0517,223000,苏H
,,,1909,盐城,Yancheng,0515,224000,苏J
,,,1910,扬州,Yangzhou,0514,225000,苏K
,,,1911,镇江,Zhenjiang,0511,212000,苏L
,,,1912,泰州,Taizhou,0523,225300,苏M
,,,1913,宿迁,Suqian,0527,223800,苏N
20,浙江,Zhejiang,2001,杭州,Hangzhou,0571,310000,浙A
,,,2002,宁波,Ningbo,0574,315000,浙B
,,,2003,温州,Wenzhou,0577,325000,浙C
,,,2004,绍兴,Shaoxing,0575,312000,浙D
,,,2005,湖州,Huzhou,0572,313000,浙E
,,,2006,嘉兴,Jiaxing,0573,314000,浙F
,,,2007,金华,Jinhua,0579,321000,浙G
,,,2008,衢州,Quzhou,0570,324000,浙H
,,,2009,台州,Taizhou,0576,318000,浙J
,,,2010,丽水,Lishui,0578,323000,浙K
,,,2011,舟山,Zhoushan,0580,316000,浙L
21,安徽,Anhui,2101,合肥,Hefei,0551,230000,皖A
,,,2102,芜湖,Wuhu,0553,241000,皖B
,,,2103,蚌埠,Bangbu,0552,233000,皖C
,,,2104,淮南,Huainan,0554,232000,皖D
,,,2105,马鞍山,Ma'anshan,0555,243000,皖E
,,,2106,淮北,Huaibei,0561,235000,皖F
,,,2107,铜陵,Tongling,0562,244000,皖G
,,,2108,安庆,Anqing,0556,246000,皖H
,,,2109,黄山,Huangshan,0559,245000,皖J
,,,2110,阜阳,Fuyang,0558,236000,皖K
,,,2111,宿州,Suzhou,0557,234000,皖L
,,,2112,滁州,Chuzhou,0550,239000,皖M
,,,2113,六安,Lu'an,0564,237000,皖N
,,,2114,宣城,Xuancheng,0563,242000,皖P
,,,2115,池州,Chizhou,0566,247000,皖R
,,,2116,亳州,Bozhou,0558,236800,皖S
22,福建,Fujian,2201,福州,Fuzhou,0591,350000,闽A
,,,2202,厦门,Xiamen,0592,361000,闽D
,,,2203,漳州,Zhangzhou,0596,363000,闽E
,,,2204,泉州,Quanzhou,0595,362000,闽C
,,,2205,三明,Sanming,0598,365000,闽G
,,,2206,莆田,Putian,0594,361100,闽B
,,,2207,南平,Nanping,0599,353000,闽H
,,,2208,龙岩,Longyan,0597,364000,闽F
,,,2209,宁德,Ningde,0593,352000,闽J
,,,2210,平潭,Pingtan,0591,350400,闽K
23,江西,Jiangxi,2301,南昌,Nanchang,0791,330000,赣A/M
,,,2302,九江,Jiujiang,0792,332000,赣G
,,,2303,上饶,Shangrao,0793,334000,赣E
,,,2304,抚州,Fuzhou,0794,344000,赣F
,,,2305,宜春,Yichun,0795,336000,赣C
